career_label,skills,interests,career_goal,projects_done,education_branch,year_of_study,cgpa,has_internship,weakness,preferred_work,open_to_masters,combined_text
QA Engineer,"performance testing, bug reporting, api testing, git, jmeter, test cases, sdlc, manual testing",test automation,sdet,selenium test scripts,Information Technology,1st year,6.3,False,not confident in interviews,fintech startup,True,performance testing bug reporting api testing git jmeter test cases sdlc manual testing test automation sdet selenium test scripts information technology no internship not confident in interviews
Full Stack Developer,"react, sql, javascript, figma, mongodb, css, docker, nextjs, rest api, git, node.js, html",building web applications,mern stack developer,real estate website,Computer Science,4th year,9.5,False,not good at system design,mnc with good work life balance,True,react sql javascript figma mongodb css docker nextjs rest api git node.js html building web applications mern stack developer real estate website computer science no internship not good at system design
Software Engineer,"object oriented programming, python, problem solving, algorithms, git, c++",coding challenges,software engineer at a top product company,ecommerce website,Computer Science,final year,6.8,False,weak in networking concepts,service company,False,object oriented programming python problem solving algorithms git c++ coding challenges software engineer at a top product company ecommerce website computer science no internship weak in networking concepts
Software Engineer,"data structures, design patterns, algorithms, git, c++",open source,backend developer,student result portal,Software Engineering,4th year,6.9,False,need to improve debugging skills,"product company, remote",False,data structures design patterns algorithms git c++ open source backend developer student result portal software engineering no internship need to improve debugging skills
Business Analyst,"requirement gathering, uml, excel, sql, power bi, data analysis, process mapping, documentation",business analysis,requirements analyst,business requirement document,Computer Science,final year,9.2,False,weak in mathematics,remote job,True,requirement gathering uml excel sql power bi data analysis process mapping documentation business analysis requirements analyst business requirement document computer science no internship weak in mathematics
Data Scientist,"numpy, sql, data visualization, python, statistics, machine learning, probability, feature engineering, pandas",statistics,data science engineer,sentiment analysis,Information Technology,4th year,8.6,False,weak in networking concepts,mnc with good work life balance,True,numpy sql data visualization python statistics machine learning probability feature engineering pandas statistics data science engineer sentiment analysis information technology no internship weak in networking concepts
UI/UX Designer,"usability testing, figma, html css basics, user research, color theory, wireframing, invision, design thinking, typography, prototyping",visual design,interaction designer,mobile app prototype,Information Technology,4th year,7.5,False,need to improve communication skills,edtech company,True,usability testing figma html css basics user research color theory wireframing invision design thinking typography prototyping visual design interaction designer mobile app prototype information technology no internship need to improve communication skills
Data Analyst,"sql, data visualization, python, statistics, power bi, looker, pivot tables, r, pandas",data analysis,data analyst,market analysis report,Computer Science,final year,9.6,False,weak in networking concepts,edtech company,False,sql data visualization python statistics power bi looker pivot tables r pandas data analysis data analyst market analysis report computer science no internship weak in networking concepts
Embedded Systems Engineer,"linux, assembly, raspberry pi, debugging, electronics, iot, microcontrollers, c, rtos, pcb design, c++",embedded systems,firmware engineer,rtos based system,Electronics and Communication,1st year,7.0,False,need to work on time management,service company,True,linux assembly raspberry pi debugging electronics iot microcontrollers c rtos pcb design c++ embedded systems firmware engineer rtos based system electronics and communication no internship need to work on time management
QA Engineer,"sql, selenium, python, api testing, git, jmeter, test cases, manual testing",test automation,quality assurance analyst,api testing suite,Software Engineering,final year,6.4,False,weak in networking concepts,"product company, remote",False,sql selenium python api testing git jmeter test cases manual testing test automation quality assurance analyst api testing suite software engineering no internship weak in networking concepts
Cybersecurity Analyst,"sql, networking, firewalls, compliance, security fundamentals, cryptography, siem tools",network security,security engineer,firewall configuration,Information Technology,final year,7.8,True,need to improve communication skills,edtech company,False,sql networking firewalls compliance security fundamentals cryptography siem tools network security security engineer firewall configuration information technology internship need to improve communication skills
Software Engineer,"object oriented programming, python, agile, unit testing, git, java",competitive programming,software developer,library management system,Software Engineering,4th year,8.4,False,limited knowledge of cloud platforms,startup environment,False,object oriented programming python agile unit testing git java competitive programming software developer library management system software engineering no internship limited knowledge of cloud platforms
Full Stack Developer,"react, sql, redis, mongodb, css, rest api, git, node.js, aws, javascript",web development,full stack engineer,food delivery app,Information Technology,2nd year,9.5,True,weak in mathematics,remote job,False,react sql redis mongodb css rest api git node.js aws javascript web development full stack engineer food delivery app information technology internship weak in mathematics
Cybersecurity Analyst,"cloud security, networking, firewalls, kali linux, security fundamentals, ethical hacking, cryptography",network security,security engineer,network vulnerability scanner,Electronics and Communication,3rd year,7.6,True,weak in networking concepts,mnc with good work life balance,True,cloud security networking firewalls kali linux security fundamentals ethical hacking cryptography network security security engineer network vulnerability scanner electronics and communication internship weak in networking concepts
ML Engineer,"numpy, pytorch, tensorflow, spark, model deployment, machine learning, deep learning, pandas",ai model deployment,machine learning engineer,recommendation engine,Artificial Intelligence,4th year,6.9,True,weak in mathematics,fintech startup,False,numpy pytorch tensorflow spark model deployment machine learning deep learning pandas ai model deployment machine learning engineer recommendation engine artificial intelligence internship weak in mathematics
Data Scientist,"numpy, sql, data visualization, python, statistics, tensorflow, nlp, machine learning, pandas",data science,data scientist,customer churn prediction,Mathematics,4th year,7.7,False,need to improve problem solving speed,edtech company,False,numpy sql data visualization python statistics tensorflow nlp machine learning pandas data science data scientist customer churn prediction mathematics no internship need to improve problem solving speed
ML Engineer,"numpy, pytorch, tensorflow, model deployment, kubernetes, pandas, data pipelines",deep learning,ml engineer,ml model monitoring,Computer Science,4th year,9.0,True,limited knowledge of cloud platforms,edtech company,True,numpy pytorch tensorflow model deployment kubernetes pandas data pipelines deep learning ml engineer ml model monitoring computer science internship limited knowledge of cloud platforms
Data Scientist,"numpy, sql, data visualization, python, statistics, tensorflow, machine learning, probability, pandas",statistics,machine learning practitioner,sentiment analysis,Mathematics,2nd year,9.3,True,not confident in interviews,remote job,True,numpy sql data visualization python statistics tensorflow machine learning probability pandas statistics machine learning practitioner sentiment analysis mathematics internship not confident in interviews
UI/UX Designer,"figma, user research, color theory, design thinking, prototyping",product design,user experience designer,mobile app prototype,Computer Science,final year,7.3,False,not confident in public speaking,research organization,False,figma user research color theory design thinking prototyping product design user experience designer mobile app prototype computer science no internship not confident in public speaking
Cloud Engineer,"azure, python, networking, git, aws, storage services",cloud computing,azure engineer,aws s3 file storage app,Electronics and Communication,1st year,6.5,True,not confident in public speaking,fintech startup,True,azure python networking git aws storage services cloud computing azure engineer aws s3 file storage app electronics and communication internship not confident in public speaking
Mobile Developer,"mobile ui, android, dart, ios, state management, git, kotlin, java",flutter development,flutter developer,fitness tracker app,Information Technology,2nd year,7.1,True,weak in mathematics,fintech startup,True,mobile ui android dart ios state management git kotlin java flutter development flutter developer fitness tracker app information technology internship weak in mathematics
Full Stack Developer,"react, sql, redis, mongodb, css, docker, rest api, node.js, html",web development,full stack developer,social media clone,Computer Science,2nd year,7.6,False,need to work on time management,startup environment,True,react sql redis mongodb css docker rest api node.js html web development full stack developer social media clone computer science no internship need to work on time management
UI/UX Designer,"figma, html css basics, adobe xd, user research, color theory, wireframing, typography, prototyping",interaction design,visual designer,website wireframes,Information Technology,1st year,6.2,False,limited knowledge of cloud platforms,"product company, remote",True,figma html css basics adobe xd user research color theory wireframing typography prototyping interaction design visual designer website wireframes information technology no internship limited knowledge of cloud platforms
Business Analyst,"tableau, uml, sql, excel, data analysis, communication",requirement analysis,requirements analyst,gap analysis report,Management,final year,7.8,False,not confident in interviews,research organization,True,tableau uml sql excel data analysis communication requirement analysis requirements analyst gap analysis report management no internship not confident in interviews
Frontend Developer,"javascript, vue, figma, responsive design, css, typescript, git, html",frontend development,ui developer,todo app,Electronics,4th year,8.7,False,weak in mathematics,startup environment,False,javascript vue figma responsive design css typescript git html frontend development ui developer todo app electronics no internship weak in mathematics
Cloud Engineer,"azure, python, networking, aws, storage services",azure,cloud developer,cloud cost dashboard,Information Technology,2nd year,7.9,False,weak in mathematics,service company,True,azure python networking aws storage services azure cloud developer cloud cost dashboard information technology no internship weak in mathematics
Full Stack Developer,"react, sql, javascript, css, rest api, git, node.js, html",web development,full stack developer,food delivery app,Computer Science,1st year,7.5,False,not confident in public speaking,startup environment,True,react sql javascript css rest api git node.js html web development full stack developer food delivery app computer science no internship not confident in public speaking
Embedded Systems Engineer,"python, raspberry pi, electronics, debugging, communication protocols, microcontrollers, pcb design, c++",iot,hardware software engineer,smart irrigation system,Mechatronics,1st year,8.6,True,need to improve problem solving speed,edtech company,False,python raspberry pi electronics debugging communication protocols microcontrollers pcb design c++ iot hardware software engineer smart irrigation system mechatronics internship need to improve problem solving speed
DevOps Engineer,"linux, shell scripting, ci/cd, networking basics, docker, git, kubernetes, aws",automation,platform engineer,automated deployment pipeline,Computer Science,1st year,9.0,False,need to work on time management,remote job,False,linux shell scripting ci/cd networking basics docker git kubernetes aws automation platform engineer automated deployment pipeline computer science no internship need to work on time management
UI/UX Designer,"figma, adobe xd, html css basics, user research, accessibility, color theory, wireframing, design thinking, typography, prototyping",visual design,interaction designer,website wireframes,Arts,3rd year,7.0,False,not good at system design,edtech company,False,figma adobe xd html css basics user research accessibility color theory wireframing design thinking typography prototyping visual design interaction designer website wireframes arts no internship not good at system design
Data Scientist,"sql, data visualization, machine learning, probability, pandas",data analysis,applied scientist,customer churn prediction,Computer Science,1st year,9.7,False,not good at system design,research organization,False,sql data visualization machine learning probability pandas data analysis applied scientist customer churn prediction computer science no internship not good at system design
Full Stack Developer,"sql, javascript, figma, css, rest api, git, html",building web applications,full stack developer,social media clone,Computer Science,2nd year,6.2,True,weak in statistics,edtech company,False,sql javascript figma css rest api git html building web applications full stack developer social media clone computer science internship weak in statistics
DevOps Engineer,"linux, shell scripting, ci/cd, networking basics, docker, git, kubernetes, aws",infrastructure,platform engineer,infrastructure as code,Information Technology,2nd year,9.4,True,lack of real-world project experience,remote job,False,linux shell scripting ci/cd networking basics docker git kubernetes aws infrastructure platform engineer infrastructure as code information technology internship lack of real-world project experience
ML Engineer,"numpy, pytorch, python, tensorflow, nlp, spark, model deployment, machine learning, aws sagemaker, fastapi, pandas",machine learning engineering,deep learning engineer,recommendation engine,Mathematics,final year,9.8,False,need to improve communication skills,mnc with good work life balance,True,numpy pytorch python tensorflow nlp spark model deployment machine learning aws sagemaker fastapi pandas machine learning engineering deep learning engineer recommendation engine mathematics no internship need to improve communication skills
Mobile Developer,"flutter, push notifications, mobile ui, android, dart, firebase, react native, sqlite, java",mobile app development,ios developer,fitness tracker app,Electronics and Communication,3rd year,9.3,False,need to improve debugging skills,edtech company,False,flutter push notifications mobile ui android dart firebase react native sqlite java mobile app development ios developer fitness tracker app electronics and communication no internship need to improve debugging skills
Software Engineer,"data structures, java, problem solving, unit testing, git, c++",competitive programming,software engineer at a top product company,library management system,Information Technology,final year,9.1,True,lack of real-world project experience,service company,True,data structures java problem solving unit testing git c++ competitive programming software engineer at a top product company library management system information technology internship lack of real-world project experience
Cloud Engineer,"linux, azure, python, networking, docker, git, cost optimization, aws, storage services",cloud computing,cloud engineer,multi-region architecture,Computer Science,2nd year,9.5,False,not good at system design,research organization,True,linux azure python networking docker git cost optimization aws storage services cloud computing cloud engineer multi-region architecture computer science no internship not good at system design
Frontend Developer,"react, vue, figma, redux, html, git, javascript",web animations,frontend engineer,todo app,Electronics,4th year,8.7,False,weak in networking concepts,fintech startup,False,react vue figma redux html git javascript web animations frontend engineer todo app electronics no internship weak in networking concepts
Data Scientist,"numpy, tableau, sql, data visualization, python, statistics, machine learning, scikit-learn, probability, pandas",artificial intelligence,data science engineer,sentiment analysis,Information Technology,1st year,9.2,False,lack of real-world project experience,service company,False,numpy tableau sql data visualization python statistics machine learning scikit-learn probability pandas artificial intelligence data science engineer sentiment analysis information technology no internship lack of real-world project experience
Mobile Developer,"flutter, mobile ui, android, dart, state management, git, react native, kotlin, sqlite, java",mobile app development,flutter developer,e-learning app,Electronics and Communication,1st year,9.4,False,need to improve debugging skills,"product company, remote",True,flutter mobile ui android dart state management git react native kotlin sqlite java mobile app development flutter developer e-learning app electronics and communication no internship need to improve debugging skills
Full Stack Developer,"react, sql, css, rest api, javascript",end to end development,full stack engineer,real estate website,Computer Science,1st year,7.0,False,not confident in interviews,"product company, remote",True,react sql css rest api javascript end to end development full stack engineer real estate website computer science no internship not confident in interviews
Data Scientist,"numpy, pytorch, sql, data visualization, python, statistics, tensorflow, spark, machine learning, probability, feature engineering, pandas",data science,data scientist,house price prediction,Information Technology,2nd year,10.0,True,not good at system design,edtech company,True,numpy pytorch sql data visualization python statistics tensorflow spark machine learning probability feature engineering pandas data science data scientist house price prediction information technology internship not good at system design
Data Scientist,"numpy, sql, data visualization, python, machine learning, probability, pandas",data science,data scientist,customer churn prediction,Computer Science,1st year,9.2,False,not confident in interviews,research organization,True,numpy sql data visualization python machine learning probability pandas data science data scientist customer churn prediction computer science no internship not confident in interviews
Backend Engineer,"data structures, sql, python, mongodb, docker, databases, git, rest api, node.js, java",backend development,backend developer,blog api,Information Technology,3rd year,7.3,False,need to improve communication skills,startup environment,True,data structures sql python mongodb docker databases git rest api node.js java backend development backend developer blog api information technology no internship need to improve communication skills
DevOps Engineer,"linux, shell scripting, terraform, networking basics, docker, ansible, prometheus, kubernetes",devops,cloud engineer,ci/cd pipeline setup,Computer Science,3rd year,8.8,True,not confident in public speaking,startup environment,True,linux shell scripting terraform networking basics docker ansible prometheus kubernetes devops cloud engineer ci/cd pipeline setup computer science internship not confident in public speaking
Mobile Developer,"flutter, mobile ui, android, dart, git, kotlin, java",mobile app development,android developer,notes app,Computer Science,final year,7.9,False,need to work on time management,service company,False,flutter mobile ui android dart git kotlin java mobile app development android developer notes app computer science no internship need to work on time management
Full Stack Developer,"react, sql, figma, css, html, rest api, git, node.js, aws, javascript",web development,full stack developer,full stack ecommerce app,Computer Science,2nd year,9.8,False,weak in networking concepts,"product company, remote",True,react sql figma css html rest api git node.js aws javascript web development full stack developer full stack ecommerce app computer science no internship weak in networking concepts
Data Scientist,"numpy, pytorch, sql, data visualization, python, tableau, statistics, scikit-learn, probability, pandas",data analysis,machine learning practitioner,customer churn prediction,Information Technology,4th year,6.5,True,weak in mathematics,fintech startup,True,numpy pytorch sql data visualization python tableau statistics scikit-learn probability pandas data analysis machine learning practitioner customer churn prediction information technology internship weak in mathematics
DevOps Engineer,"linux, ci/cd, kubernetes, docker",infrastructure,infrastructure engineer,infrastructure as code,Information Technology,1st year,6.2,False,lack of real-world project experience,fintech startup,True,linux ci/cd kubernetes docker infrastructure infrastructure engineer infrastructure as code information technology no internship lack of real-world project experience
Embedded Systems Engineer,"python, raspberry pi, debugging, electronics, communication protocols, arduino, iot, microcontrollers, rtos, pcb design, c++",hardware programming,robotics engineer,rtos based system,Mechatronics,1st year,6.9,False,need to improve communication skills,edtech company,True,python raspberry pi debugging electronics communication protocols arduino iot microcontrollers rtos pcb design c++ hardware programming robotics engineer rtos based system mechatronics no internship need to improve communication skills
ML Engineer,"numpy, python, machine learning, deep learning, pandas",machine learning engineering,mlops engineer,image recognition model,Mathematics,final year,9.1,True,not good at system design,fintech startup,False,numpy python machine learning deep learning pandas machine learning engineering mlops engineer image recognition model mathematics internship not good at system design
Software Engineer,"data structures, linux, object oriented programming, python, problem solving, algorithms, unit testing, git, rest api, java, system design",coding challenges,software engineer at a top product company,student result portal,Computer Science,final year,9.8,False,weak in mathematics,edtech company,True,data structures linux object oriented programming python problem solving algorithms unit testing git rest api java system design coding challenges software engineer at a top product company student result portal computer science no internship weak in mathematics
Mobile Developer,"flutter, android, dart, state management, git, react native, kotlin, sqlite, java",android development,ios developer,expense tracker,Computer Science,3rd year,7.3,False,weak in statistics,remote job,False,flutter android dart state management git react native kotlin sqlite java android development ios developer expense tracker computer science no internship weak in statistics
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, power bi, looker, pivot tables, r, pandas",dashboards,reporting analyst,power bi report,Business Administration,2nd year,6.5,True,need to improve debugging skills,mnc with good work life balance,False,tableau sql data visualization excel python statistics power bi looker pivot tables r pandas dashboards reporting analyst power bi report business administration internship need to improve debugging skills
Full Stack Developer,"react, sql, figma, css, docker, rest api, git, typescript, node.js, aws, javascript",building web applications,web application developer,job portal,Computer Science,4th year,8.5,True,weak in mathematics,fintech startup,True,react sql figma css docker rest api git typescript node.js aws javascript building web applications web application developer job portal computer science internship weak in mathematics
ML Engineer,"numpy, pytorch, python, tensorflow, nlp, model deployment, machine learning, docker, deep learning, pandas",production ml systems,ml engineer,recommendation engine,Information Technology,4th year,9.0,False,need to improve communication skills,mnc with good work life balance,True,numpy pytorch python tensorflow nlp model deployment machine learning docker deep learning pandas production ml systems ml engineer recommendation engine information technology no internship need to improve communication skills
Frontend Developer,"vue, figma, responsive design, css, html, nextjs, javascript",web design,frontend developer,ecommerce ui,Computer Science,final year,7.7,False,need to work on time management,fintech startup,False,vue figma responsive design css html nextjs javascript web design frontend developer ecommerce ui computer science no internship need to work on time management
Business Analyst,"requirement gathering, uml, excel, sql, data analysis, process mapping, communication, documentation",business analysis,product analyst,stakeholder analysis,Management,4th year,6.8,False,need to work on time management,"product company, remote",True,requirement gathering uml excel sql data analysis process mapping communication documentation business analysis product analyst stakeholder analysis management no internship need to work on time management
Software Engineer,"data structures, python, problem solving, rest api, git, system design",competitive programming,sde at faang,student result portal,Software Engineering,1st year,8.2,True,weak in networking concepts,remote job,False,data structures python problem solving rest api git system design competitive programming sde at faang student result portal software engineering internship weak in networking concepts
Data Analyst,"tableau, sql, data visualization, python, excel, power bi",reporting,reporting analyst,power bi report,Computer Science,final year,7.9,False,not good at system design,research organization,False,tableau sql data visualization python excel power bi reporting reporting analyst power bi report computer science no internship not good at system design
Data Analyst,"tableau, data visualization, excel, python, statistics, power bi, looker, r, machine learning basics",insight generation,analytics engineer,customer behavior analysis,Commerce,4th year,7.9,True,weak in statistics,"product company, remote",True,tableau data visualization excel python statistics power bi looker r machine learning basics insight generation analytics engineer customer behavior analysis commerce internship weak in statistics
QA Engineer,"sql, selenium, python, postman, performance testing, bug reporting, api testing, git, test cases, manual testing",test automation,sdet,test automation framework,Software Engineering,4th year,10.0,True,limited knowledge of cloud platforms,mnc with good work life balance,False,sql selenium python postman performance testing bug reporting api testing git test cases manual testing test automation sdet test automation framework software engineering internship limited knowledge of cloud platforms
Embedded Systems Engineer,"assembly, raspberry pi, matlab, communication protocols, arduino, iot, microcontrollers, rtos, c++",robotics,robotics engineer,iot home automation,Electronics and Communication,3rd year,7.7,False,weak in networking concepts,fintech startup,False,assembly raspberry pi matlab communication protocols arduino iot microcontrollers rtos c++ robotics robotics engineer iot home automation electronics and communication no internship weak in networking concepts
Cybersecurity Analyst,"networking, kali linux, compliance, security fundamentals, ethical hacking, cryptography",ctf challenges,penetration tester,penetration testing report,Electronics and Communication,final year,6.5,False,weak in mathematics,fintech startup,True,networking kali linux compliance security fundamentals ethical hacking cryptography ctf challenges penetration tester penetration testing report electronics and communication no internship weak in mathematics
Software Engineer,"algorithms, object oriented programming, python, problem solving",competitive programming,software developer,ecommerce website,Information Technology,3rd year,10.0,True,weak in networking concepts,startup environment,True,algorithms object oriented programming python problem solving competitive programming software developer ecommerce website information technology internship weak in networking concepts
Cloud Engineer,"linux, azure, terraform, python, networking, docker, git, kubernetes, cost optimization, aws, storage services",cloud computing,azure engineer,cloud cost dashboard,Information Technology,3rd year,7.9,False,weak in mathematics,research organization,False,linux azure terraform python networking docker git kubernetes cost optimization aws storage services cloud computing azure engineer cloud cost dashboard information technology no internship weak in mathematics
Mobile Developer,"flutter, push notifications, mobile ui, android, ios, state management, git, kotlin, java",ios development,flutter developer,e-learning app,Information Technology,final year,6.8,True,limited knowledge of cloud platforms,research organization,False,flutter push notifications mobile ui android ios state management git kotlin java ios development flutter developer e-learning app information technology internship limited knowledge of cloud platforms
Data Analyst,"tableau, sql, python, excel, power bi, looker, pandas",business analytics,reporting analyst,market analysis report,Commerce,1st year,6.5,False,need to improve debugging skills,startup environment,True,tableau sql python excel power bi looker pandas business analytics reporting analyst market analysis report commerce no internship need to improve debugging skills
Frontend Developer,"vue, responsive design, html, git, javascript",web animations,react developer,dashboard ui,Electronics,3rd year,8.6,True,limited knowledge of cloud platforms,fintech startup,True,vue responsive design html git javascript web animations react developer dashboard ui electronics internship limited knowledge of cloud platforms
Backend Engineer,"microservices, mongodb, docker, rest api, databases, node.js, aws, java",databases,server-side engineer,authentication service,Information Technology,1st year,9.2,False,not confident in public speaking,startup environment,False,microservices mongodb docker rest api databases node.js aws java databases server-side engineer authentication service information technology no internship not confident in public speaking
Backend Engineer,"data structures, microservices, sql, python, docker, databases, rest api, git, node.js, aws, java, system design",backend development,backend developer,blog api,Computer Science,1st year,7.3,False,weak in mathematics,research organization,True,data structures microservices sql python docker databases rest api git node.js aws java system design backend development backend developer blog api computer science no internship weak in mathematics
QA Engineer,"sql, selenium, bug reporting, git, manual testing",api testing,qa engineer,test automation framework,Information Technology,4th year,7.1,True,not good at system design,service company,True,sql selenium bug reporting git manual testing api testing qa engineer test automation framework information technology internship not good at system design
Software Engineer,"python, design patterns, java, problem solving, git, c++",competitive programming,backend developer,chat application,Information Technology,3rd year,7.0,True,need to improve debugging skills,edtech company,False,python design patterns java problem solving git c++ competitive programming backend developer chat application information technology internship need to improve debugging skills
Embedded Systems Engineer,"python, raspberry pi, electronics, debugging, communication protocols, arduino, microcontrollers, c, rtos, c++",iot,embedded systems engineer,iot home automation,Mechatronics,3rd year,8.3,False,not confident in interviews,research organization,True,python raspberry pi electronics debugging communication protocols arduino microcontrollers c rtos c++ iot embedded systems engineer iot home automation mechatronics no internship not confident in interviews
Full Stack Developer,"javascript, docker, rest api, git, html",end to end development,full stack engineer,social media clone,Computer Science,final year,7.0,True,need to improve debugging skills,startup environment,False,javascript docker rest api git html end to end development full stack engineer social media clone computer science internship need to improve debugging skills
UI/UX Designer,"usability testing, html css basics, user research, color theory, wireframing, invision, design thinking, typography",ux research,user experience designer,app redesign case study,Arts,4th year,6.5,True,weak in statistics,edtech company,False,usability testing html css basics user research color theory wireframing invision design thinking typography ux research user experience designer app redesign case study arts internship weak in statistics
Data Analyst,"tableau, sql, data visualization, python, excel, statistics, google analytics, pivot tables, machine learning basics, pandas",data visualization,analytics engineer,sql analytics project,Mathematics,1st year,6.4,False,weak in mathematics,startup environment,False,tableau sql data visualization python excel statistics google analytics pivot tables machine learning basics pandas data visualization analytics engineer sql analytics project mathematics no internship weak in mathematics
Data Analyst,"sql, data visualization, excel, pandas",data analysis,reporting analyst,excel dashboard,Computer Science,1st year,9.8,False,weak in networking concepts,remote job,False,sql data visualization excel pandas data analysis reporting analyst excel dashboard computer science no internship weak in networking concepts
ML Engineer,"python, mlops, spark, model deployment, machine learning, docker, pandas",deep learning,ml engineer,real-time inference system,Mathematics,1st year,9.9,True,not confident in interviews,"product company, remote",True,python mlops spark model deployment machine learning docker pandas deep learning ml engineer real-time inference system mathematics internship not confident in interviews
Software Engineer,"python, c++, algorithms, git, java, system design",competitive programming,software engineer at a top product company,task manager app,Software Engineering,4th year,6.8,False,not confident in public speaking,remote job,False,python c++ algorithms git java system design competitive programming software engineer at a top product company task manager app software engineering no internship not confident in public speaking
ML Engineer,"pytorch, deep learning, model deployment, machine learning",deep learning,machine learning engineer,real-time inference system,Computer Science,1st year,8.3,True,need to improve debugging skills,service company,False,pytorch deep learning model deployment machine learning deep learning machine learning engineer real-time inference system computer science internship need to improve debugging skills
Frontend Developer,"react, responsive design, redux, html, git, javascript",building user interfaces,frontend engineer,todo app,Computer Science,3rd year,9.4,False,not confident in interviews,edtech company,True,react responsive design redux html git javascript building user interfaces frontend engineer todo app computer science no internship not confident in interviews
Cybersecurity Analyst,"linux, sql, firewalls, security fundamentals, ethical hacking, cryptography, penetration testing",ctf challenges,cybersecurity analyst,security audit,Computer Science,4th year,7.8,True,not confident in public speaking,edtech company,True,linux sql firewalls security fundamentals ethical hacking cryptography penetration testing ctf challenges cybersecurity analyst security audit computer science internship not confident in public speaking
Data Scientist,"sql, python, tensorflow, machine learning, probability",data science,ai researcher,customer churn prediction,Computer Science,2nd year,6.4,False,not confident in interviews,fintech startup,True,sql python tensorflow machine learning probability data science ai researcher customer churn prediction computer science no internship not confident in interviews
QA Engineer,"sql, postman, bug reporting, api testing, git, test cases, sdlc, manual testing",test automation,software tester,api testing suite,Software Engineering,2nd year,7.0,False,weak in networking concepts,mnc with good work life balance,False,sql postman bug reporting api testing git test cases sdlc manual testing test automation software tester api testing suite software engineering no internship weak in networking concepts
Business Analyst,"python basics, requirement gathering, sql, excel, stakeholder management, data analysis, communication, documentation",process improvement,product analyst,business requirement document,Management,2nd year,6.7,False,not good at system design,"product company, remote",True,python basics requirement gathering sql excel stakeholder management data analysis communication documentation process improvement product analyst business requirement document management no internship not good at system design
Frontend Developer,"react, javascript, responsive design, css, typescript, git, html",building user interfaces,frontend engineer,landing page,Information Technology,1st year,8.0,True,not confident in interviews,remote job,True,react javascript responsive design css typescript git html building user interfaces frontend engineer landing page information technology internship not confident in interviews
Cloud Engineer,"linux, azure, cloud security, python, networking, monitoring, docker, git, gcp, aws, storage services",cloud native development,cloud engineer,cloud deployment pipeline,Information Technology,final year,7.9,False,not confident in interviews,mnc with good work life balance,False,linux azure cloud security python networking monitoring docker git gcp aws storage services cloud native development cloud engineer cloud deployment pipeline information technology no internship not confident in interviews
Full Stack Developer,"react, sql, redis, css, nextjs, docker, rest api, git, typescript, node.js, javascript",end to end development,full stack engineer,food delivery app,Computer Science,final year,8.2,False,lack of real-world project experience,edtech company,False,react sql redis css nextjs docker rest api git typescript node.js javascript end to end development full stack engineer food delivery app computer science no internship lack of real-world project experience
Software Engineer,"object oriented programming, python, agile, algorithms, git, c++",competitive programming,work at a tech startup,url shortener,Computer Science,final year,7.8,False,weak in statistics,edtech company,True,object oriented programming python agile algorithms git c++ competitive programming work at a tech startup url shortener computer science no internship weak in statistics
DevOps Engineer,"linux, terraform, networking basics, ci/cd, monitoring, docker, git, kubernetes, aws",infrastructure,cloud engineer,dockerized application,Computer Science,2nd year,8.6,False,weak in networking concepts,service company,False,linux terraform networking basics ci/cd monitoring docker git kubernetes aws infrastructure cloud engineer dockerized application computer science no internship weak in networking concepts
Cybersecurity Analyst,"linux, sql, networking, kali linux, cryptography, wireshark, siem tools",penetration testing,penetration tester,security audit,Computer Science,2nd year,6.3,True,limited knowledge of cloud platforms,research organization,True,linux sql networking kali linux cryptography wireshark siem tools penetration testing penetration tester security audit computer science internship limited knowledge of cloud platforms
Mobile Developer,"flutter, mobile ui, android, dart, git, kotlin, sqlite, java",flutter development,android developer,fitness tracker app,Electronics and Communication,4th year,8.0,False,limited knowledge of cloud platforms,research organization,False,flutter mobile ui android dart git kotlin sqlite java flutter development android developer fitness tracker app electronics and communication no internship limited knowledge of cloud platforms
Full Stack Developer,"react, css, docker, typescript, git, node.js, aws",web development,full stack developer,real estate website,Information Technology,4th year,8.7,True,need to improve communication skills,startup environment,False,react css docker typescript git node.js aws web development full stack developer real estate website information technology internship need to improve communication skills
Mobile Developer,"flutter, dart, state management, git, firebase, kotlin, sqlite, java",ios development,cross platform developer,e-learning app,Computer Science,2nd year,6.2,True,not confident in interviews,remote job,False,flutter dart state management git firebase kotlin sqlite java ios development cross platform developer e-learning app computer science internship not confident in interviews
Data Analyst,"google analytics, sql, excel, python, statistics, dashboard design, power bi, pivot tables, machine learning basics, pandas",business analytics,insights analyst,power bi report,Business Administration,4th year,7.7,True,weak in networking concepts,"product company, remote",False,google analytics sql excel python statistics dashboard design power bi pivot tables machine learning basics pandas business analytics insights analyst power bi report business administration internship weak in networking concepts
Embedded Systems Engineer,"raspberry pi, electronics, debugging, c, c++",robotics,robotics engineer,iot home automation,Computer Science,final year,6.9,False,lack of real-world project experience,research organization,False,raspberry pi electronics debugging c c++ robotics robotics engineer iot home automation computer science no internship lack of real-world project experience
Mobile Developer,"flutter, push notifications, mobile ui, android, rest api, java",mobile app development,mobile app developer,quiz app,Information Technology,final year,9.1,False,not confident in interviews,edtech company,True,flutter push notifications mobile ui android rest api java mobile app development mobile app developer quiz app information technology no internship not confident in interviews
